Rank,Team
1,Michigan
2,Gonzaga
3,Iowa St.
4,Duke
5,Arizona
6,Purdue
7,Connecticut
8,Houston
9,BYU
10,Vanderbilt
11,Michigan St.
12,Illinois
13,Florida
14,Louisville
15,Tennessee
16,Alabama
17,Kansas
18,St. John's
19,Kentucky
20,Iowa
21,Nebraska
22,North Carolina
23,Virginia
24,Georgia
25,Arkansas
26,Indiana
27,Texas Tech
28,N.C. State
29,Auburn
30,UCLA
31,Clemson
32,Saint Mary's
33,Baylor
34,LSU
35,Villanova
36,Miami FL
37,Wisconsin
38,USC
39,Ohio St.
40,Utah St.
41,Saint Louis
42,Wake Forest
43,SMU
44,Texas
45,VCU
46,Boise St.
47,San Diego St.
48,Washington
49,Seton Hall
50,Oklahoma
51,Missouri
52,Butler
53,Texas A&M
54,UCF
55,Oklahoma St.
56,Northwestern
57,Mississippi
58,Notre Dame
59,Dayton
60,Virginia Tech
61,Colorado St.
62,Colorado
63,TCU
64,Arizona St.
65,Santa Clara
66,Akron
67,George Mason
68,Providence
69,McNeese
70,West Virginia
71,Kansas St.
72,Creighton
73,Tulsa
74,Syracuse
75,Memphis
76,California
77,New Mexico
78,Yale
79,George Washington
80,Belmont
81,Utah Valley
82,Cincinnati
83,Oregon
84,Xavier
85,South Florida
86,South Carolina
87,Mississippi St.
88,Wyoming
89,UC San Diego
90,Nevada
91,Stanford
92,Northern Iowa
93,Grand Canyon
94,San Francisco
95,Murray St.
96,Wichita St.
97,Richmond
98,Marquette
99,Illinois St.
100,Maryland
101,High Point
102,Georgetown
103,Rhode Island
104,Hawaii
105,Penn St.
106,UNC Wilmington
107,Minnesota
108,Hofstra
109,Bowling Green
110,Seattle
111,Winthrop
112,Miami OH
113,Liberty
114,St. Bonaventure
115,UAB
116,Florida Atlantic
117,Pittsburgh
118,Florida St.
119,East Tennessee St.
120,Davidson
121,DePaul
122,Sam Houston St.
123,Pacific
124,Southern Illinois
125,UC Irvine
126,Bradley
127,William & Mary
128,Columbia
129,Cal Baptist
130,Utah
131,Georgia Tech
132,Drake
133,Loyola Marymount
134,Lipscomb
135,New Mexico St.
136,Kent St.
137,North Texas
138,St. Thomas
139,Boston College
140,Stephen F. Austin
141,Duquesne
142,Troy
143,Towson
144,Rutgers
145,UNLV
146,North Dakota St.
147,UC Santa Barbara
148,Wright St.
149,Western Kentucky
150,Northern Colorado
151,Oakland
152,Marshall
153,Arkansas St.
154,Furman
155,Siena
156,Mercer
157,Middle Tennessee
158,Temple
159,Idaho St.
160,Marist
161,Toledo
