Rank,Team
1,Michigan
2,Duke
3,Gonzaga
4,Arizona
5,Iowa St.
6,BYU
7,Vanderbilt
8,UConn
9,Purdue
10,Michigan St.
11,Louisville
12,Nebraska
13,Illinois
14,Alabama
15,Houston
16,Kansas
17,Georgia
18,Arkansas
19,Iowa
20,North Carolina
21,Virginia
22,Florida
23,Saint Mary's (CA)
24,St. John's (NY)
25,Texas Tech
26,Indiana
27,Kentucky
28,Saint Louis
29,Utah St.
30,Clemson
31,Miami (FL)
32,LSU
33,Auburn
34,Tennessee
35,Villanova
36,NC State
37,Southern California
38,Seton Hall
39,Boise St.
40,Tulsa
41,SMU
42,UCLA
43,Butler
44,UCF
45,Yale
46,McNeese
47,Colorado
48,Wake Forest
49,Ohio St.
50,Oklahoma
51,Arizona St.
52,Wyoming
53,UC San Diego
54,Colorado St.
55,Belmont
56,Utah Valley
57,Akron
58,Santa Clara
59,Virginia Tech
60,California
61,Washington
62,George Mason
63,New Mexico
64,VCU
65,Baylor
66,Kansas St.
67,Notre Dame
68,Texas
69,Wisconsin
70,TCU
71,William & Mary
72,Oklahoma St.
73,Missouri
74,Northwestern
75,South Fla.
76,Sam Houston
77,George Washington
78,Miami (OH)
79,Dayton
80,Murray St.
81,Texas A&M
82,San Diego St.
83,Pacific
84,Richmond
85,Columbia
86,Bowling Green
87,Illinois St.
88,UNI
89,Nevada
90,Hofstra
91,Providence
92,Syracuse
93,Wichita St.
94,UNCW
95,California Baptist
96,St. Bonaventure
97,Davidson
98,Ole Miss
99,West Virginia
100,ETSU
101,Xavier
102,Winthrop
103,Rhode Island
104,Penn St.
105,Northern Colo.
106,Fla. Atlantic
107,Lipscomb
108,Mercer
109,Stanford
110,Seattle U
111,Idaho St.
112,Creighton
113,SFA
114,South Carolina
115,High Point
116,St. Thomas (MN)
117,Hawaii
118,Marshall
119,San Francisco
120,Memphis
121,Grand Canyon
122,Minnesota
123,Western Ky.
124,UAB
125,Southern Ill.
126,Georgetown
127,Oregon
128,Cincinnati
129,New Mexico St.
130,North Dakota St.
131,Middle Tenn.
132,Florida St.
133,Mississippi St.
134,UC Irvine
135,Siena
136,Towson
137,Bradley
138,Wright St.
139,UT Arlington
140,Idaho
141,Austin Peay
142,Colgate
143,Troy
144,Liberty
145,LMU (CA)
146,Quinnipiac
147,Utah
148,Cornell
149,DePaul
150,Oakland
151,Elon
152,Stony Brook
153,Buffalo
154,Youngstown St.
155,Kent St.
156,Drake
157,Marist
158,Arkansas St.
159,Iona
160,Toledo
161,Maryland
162,Robert Morris
163,South Dakota St.
164,Marquette
165,UC Santa Barbara
166,Montana St.
167,Pittsburgh
168,Southern Miss.
169,Furman
170,South Alabama
171,UC Davis
172,Fresno St.
173,Massachusetts
174,UTRGV
175,Tarleton St.
176,Weber St.
177,Northern Ky.
178,FIU
179,UT Martin
180,Lindenwood
181,Boston College
182,Duquesne
183,Vermont
184,North Texas
185,Central Conn. St.
186,Tennessee St.
187,Portland St.
188,Indiana St.
189,Cal St. Fullerton
190,Washington St.
191,LIU
192,Kennesaw St.
193,Eastern Mich.
194,Charlotte
195,A&M-Corpus Christi
196,Rutgers
197,USC Upstate
198,Ohio
199,Oregon St.
200,Temple
201,Tennessee Tech
202,James Madison
203,Northeastern
204,Georgia Tech
205,UNLV
206,FGCU
207,Portland
208,Coastal Carolina
209,Navy
210,Southeast Mo. St.
211,Cal Poly
212,Charleston So.
213,UIC
214,Col. of Charleston
215,Queens (NC)
216,Abilene Christian
217,Wofford
218,Fordham
219,UIW
220,Harvard
221,Ga. Southern
222,Louisiana Tech
223,Montana
224,Valparaiso
225,Green Bay
226,CSUN
227,Monmouth
228,Norfolk St.
229,East Texas A&M
230,Utah Tech
231,UNC Asheville
232,Rice
233,UC Riverside
234,Penn
235,Lamar University
236,Alabama A&M
237,SIUE
238,Alabama St.
239,American
240,Saint Joseph's
241,Old Dominion
242,Central Ark.
243,App State
244,Purdue Fort Wayne
245,New Orleans
246,Bethune-Cookman
247,Milwaukee
248,Grambling
249,North Ala.
250,San Jose St.
251,Brown
252,Fairfield
253,Presbyterian
254,Omaha
255,Wagner
256,Denver
257,Campbell
258,Dartmouth
259,Hampton
260,Holy Cross
261,Sacred Heart
262,Northern Ariz.
263,Tulane
264,Eastern Wash.
265,Sacramento St.
266,Samford
267,San Diego
268,Southern U.
269,Western Mich.
270,West Ga.
271,South Dakota
272,Merrimack
273,La Salle
274,Pepperdine
275,Western Caro.
276,Bellarmine
277,Texas St.
278,Oral Roberts
279,Delaware
280,Houston Christian
281,UMBC
282,Le Moyne
283,N.C. A&T
284,Nicholls
285,Long Beach St.
286,Detroit Mercy
287,Howard
288,UNC Greensboro
289,Jacksonville
290,Evansville
291,UTEP
292,Missouri St.
293,Eastern Ky.
294,Boston U.
295,Chattanooga
296,Drexel
297,Ark.-Pine Bluff
298,Morehead St.
299,Princeton
