Rank,Team
1,Michigan
2,Houston
3,Gonzaga
4,Duke
5,Connecticut
6,Arizona
7,Iowa St.
8,Vanderbilt
9,Purdue
10,Michigan St.
11,Tennessee
12,Alabama
13,Illinois
14,Louisville
15,St. John's
16,BYU
17,Kansas
18,Florida
19,Indiana
20,Iowa
21,Arkansas
22,Nebraska
23,Virginia
24,North Carolina
25,UCLA
26,Kentucky
27,Georgia
28,N.C. State
29,Saint Mary's
30,Texas Tech
31,Clemson
32,Ohio St.
33,Miami FL
34,LSU
35,Auburn
36,Boise St.
37,USC
38,Wisconsin
39,Saint Louis
40,Texas
41,Wake Forest
42,Santa Clara
43,Missouri
44,Villanova
45,Texas A&M
46,Utah St.
47,Baylor
48,SMU
49,West Virginia
50,Oklahoma St.
51,San Diego St.
52,Seton Hall
53,VCU
54,Oklahoma
55,Washington
56,Northwestern
57,Butler
58,Dayton
59,TCU
60,Virginia Tech
61,Oregon
62,Notre Dame
63,Colorado St.
64,Syracuse
65,UCF
66,Mississippi
67,McNeese St.
68,Creighton
69,Akron
70,Arizona St.
71,South Florida
72,George Mason
73,Memphis
74,Colorado
75,Utah Valley
76,Kansas St.
77,Cincinnati
78,Yale
79,George Washington
80,California
81,Northern Iowa
82,San Francisco
83,New Mexico
84,Xavier
85,Illinois St.
86,Tulsa
87,Providence
88,Grand Canyon
89,Stanford
90,Belmont
91,UC San Diego
92,Minnesota
93,Wyoming
94,Nevada
95,South Carolina
96,Hawaii
97,Liberty
98,High Point
99,Miami OH
100,Mississippi St.
101,Georgetown
102,Richmond
103,Murray St.
104,Penn St.
105,Wichita St.
106,Marquette
107,Davidson
108,William & Mary
109,Bowling Green
110,UC Irvine
111,St. Bonaventure
112,Seattle
113,UNC Wilmington
114,Cal Baptist
115,UAB
116,Maryland
117,St. Thomas
118,Utah
119,Florida St.
120,Pittsburgh
121,Bradley
122,Rhode Island
123,DePaul
124,Columbia
125,Florida Atlantic
126,Winthrop
127,Hofstra
128,UNLV
129,Kent St.
130,Stephen F. Austin
131,Siena
132,New Mexico St.
133,Pacific
134,Georgia Tech
135,North Dakota St.
136,Troy
137,Middle Tennessee
138,Duquesne
139,Southern Illinois
140,Oregon St.
141,Massachusetts
142,Western Kentucky
143,Boston College
144,East Tennessee St.
145,Drake
146,Wright St.
147,Youngstown St.
148,Loyola Marymount
149,Kennesaw St.
150,UC Santa Barbara
151,Iona
152,Lipscomb
153,Northern Colorado
154,North Texas
155,Sam Houston St.
156,Arkansas St.
157,Quinnipiac
158,Oakland
159,Idaho
160,FIU
161,Temple
162,South Dakota St.
163,Furman
164,UT Rio Grande Valley
165,Colgate
166,Austin Peay
167,Elon
168,Marist
169,Cornell
170,Towson
171,Washington St.
172,Montana St.
173,Robert Morris
174,Saint Joseph's
175,Marshall
176,Portland St.
177,Rutgers
178,Toledo
179,Mercer
180,James Madison
181,Idaho St.
182,Ohio
183,Fordham
184,Louisiana Tech
185,Fresno St.
186,Incarnate Word
187,Rice
188,Abilene Christian
189,UT Arlington
190,Florida Gulf Coast
191,South Alabama
192,Stony Brook
193,Charlotte
194,Charleston
195,Southern
196,Illinois Chicago
197,Southern Miss
198,Montana
199,San Jose St.
200,Monmouth
201,Cal St. Northridge
202,North Alabama
203,Tarleton St.
204,Texas St.
205,UC Davis
206,Indiana St.
207,Southeast Missouri St.
208,Queens
209,UNC Asheville
210,Old Dominion
211,Bethune Cookman
212,Navy
213,Vermont
214,Tulane
215,Valparaiso
216,Georgia Southern
217,Milwaukee
218,Weber St.
219,UTEP
220,Northern Kentucky
221,Northeastern
222,LIU
223,Buffalo
224,New Orleans
225,Dartmouth
226,Campbell
227,Lamar
228,Nebraska Omaha
229,Cal Poly
230,Portland
231,Texas A&M Corpus Chris
232,Appalachian St.
233,Eastern Washington
234,American
235,Jacksonville St.
236,San Diego
237,Lindenwood
238,Wofford
239,Missouri St.
240,Chattanooga
241,Brown
242,Harvard
243,Eastern Michigan
244,Radford
245,Purdue Fort Wayne
246,Coastal Carolina
247,Hampton
248,Central Arkansas
249,Houston Christian
250,Charleston Southern
251,Tennessee St.
252,Penn
253,La Salle
254,SIU Edwardsville
255,Eastern Kentucky
256,Norfolk St.
257,Alabama St.
258,South Dakota
259,Delaware
260,Western Michigan
261,Utah Tech
262,USC Upstate
263,Presbyterian
264,Northern Arizona
265,Green Bay
266,Evansville
267,UC Riverside
268,Southeastern Louisiana
269,Princeton
270,Sacramento St.
271,Cal St. Fullerton
272,Wagner
273,Nicholls St.
274,Grambling St.
275,Detroit Mercy
276,Sacred Heart
277,Central Connecticut
278,UNC Greensboro
279,Samford
280,Pepperdine
281,Alabama A&M
282,Tennessee Tech
283,Merrimack
284,Long Beach St.
285,Texas Southern
286,UMBC
287,East Carolina
288,Northwestern St.
289,Saint Peter's
290,Tennessee Martin
291,Mount St. Mary's
292,UTSA
293,Drexel
294,Bucknell
295,Denver
296,Fairfield
297,Manhattan
298,East Texas A&M
299,Jackson St.
300,Western Carolina
301,UMass Lowell
302,Morehead St.
303,Ball St.
304,Jacksonville
305,Longwood
306,Oral Roberts
307,Le Moyne
308,Bellarmine
309,Howard
310,Boston University
311,Northern Illinois
312,Lehigh
313,Cal St. Bakersfield
314,Holy Cross
315,Bryant
