Team,Code,Conf
Abilene Christian,ACU,WAC
Air Force,AFA,Mountain West
Akron,AKR,MAC
Alabama A&M,AAMU,SWAC
Alabama St,ALST,SWAC
Alabama,ALA,SEC
Albany,ALB,America East
Alcorn St,ALCN,SWAC
American,AMER,Patriot
Appalachian St,APP,Sun Belt
Arizona St,ASU,Big 12
Arizona,ARIZ,Big 12
Arkansas Pine Bluff,UAPB,SWAC
Arkansas St,ARST,Sun Belt
Arkansas,ARK,SEC
Army,ARMY,Patriot
Auburn,AUB,SEC
Austin Peay,APSU,ASUN
BYU,BYU,Big 12
Ball St,BALL,MAC
Baylor,BAY,Big 12
Bellarmine,BELL,ASUN
Belmont,BELM,MVC
Bethune Cookman,BETH,SWAC
Binghamton,BING,America East
Boise St,BOIS,Mountain West
Boston College,BC,ACC
Boston U,BU,Patriot
Bowling Green,BGSU,MAC
Bradley,BRAD,MVC
Brown,BRWN,Ivy
Bryant,BRY,America East
Bucknell,BUCK,Patriot
Buffalo,BUFF,MAC
Butler,BUT,Big East
Cal Baptist,CBU,WAC
Cal Poly,CP,Big West
Cal St Bakersfield,CSUB,Big West
Cal St Fullerton,CSUF,Big West
Cal St Northridge,CSUN,Big West
California,CAL,ACC
Campbell,CAMP,CAA
Canisius,CAN,MAAC
Central Arkansas,CARK,ASUN
Central Connecticut St,CCSU,NEC
Central Michigan,CMU,MAC
Charleston Southern,CHSO,Big South
Charleston,COFC,CAA
Charlotte,CLT,American
Chattanooga,CHAT,SoCon
Chicago St,CHST,NEC
Cincinnati,CIN,Big 12
Citadel,CIT,SoCon
Clemson,CLEM,ACC
Cleveland St,CLEV,Horizon
Coastal Carolina,CCU,Sun Belt
Colgate,COLG,Patriot
Colorado St,CSU,Mountain West
Colorado,COLO,Big 12
Columbia,COLU,Ivy
Coppin St,COPP,MEAC
Cornell,CORN,Ivy
Creighton,CREI,Big East
Dartmouth,DART,Ivy
Davidson,DAV,Atlantic 10
Dayton,DAY,Atlantic 10
DePaul,DEP,Big East
Delaware St,DSU,MEAC
Delaware,DEL,CAA
Denver,DENV,Summit
Detroit Mercy,DET,Horizon
Drake,DRAK,MVC
Drexel,DREX,CAA
Duke,DUKE,ACC
Duquesne,DUQ,Atlantic 10
ETSU,ETSU,SoCon
East Carolina,ECU,American
East Texas A&M,ETAM,Southland
Eastern Illinois,EIU,OVC
Eastern Kentucky,EKU,ASUN
Eastern Michigan,EMU,MAC
Eastern Washington,EWU,Big Sky
Elon,ELON,CAA
Evansville,EVAN,MVC
FAU,FAU,American
FGCU,FGCU,ASUN
FIU,FIU,CUSA
Fairfield,FAIR,MAAC
Fairleigh Dickinson,FDU,NEC
Florida A&M,FAMU,SWAC
Florida St,FSU,ACC
Florida,FLA,SEC
Fordham,FORD,Atlantic 10
Fresno St,FRES,Mountain West
Furman,FUR,SoCon
Gardner Webb,GWEB,Big South
George Mason,GMU,Atlantic 10
George Washington,GW,Atlantic 10
Georgetown,GTWN,Big East
Georgia Southern,GASO,Sun Belt
Georgia St,GAST,Sun Belt
Georgia Tech,GT,ACC
Georgia,UGA,SEC
Gonzaga,GONZ,West Coast
Grambling,GRAM,SWAC
Grand Canyon,GCU,Mountain West
Green Bay,GB,Horizon
Hampton,HAMP,CAA
Harvard,HARV,IVY
Hawaii,HAW,Big West
High Point,HPU,Big South
Hofstra,HOF,CAA
Holy Cross,HC,Patriot
Houston Christian,HCU,Southland
Houston,HOU,Big 12
Howard,HOW,MEAC
IU Indy,IUI,Horizon
Idaho St,IDST,Big Sky
Idaho,IDHO,Big Sky
Illinois St,ILST,MVC
Illinois,ILL,Big Ten
Incarnate Word,UIW,Southland
Indiana St,INST,MVC
Indiana,IU,Big Ten
Iona,IONA,MAAC
Iowa St,ISU,Big 12
Iowa,IOWA,Big Ten
Jackson St,JKST,SWAC
Jacksonville St,JVST,CUSA
Jacksonville,JAX,ASUN
James Madison,JMU,Sun Belt
Kansas City,KC,Summit
Kansas St,KSU,Big 12
Kansas,KU,Big 12
Kennesaw St,KENN,CUSA
Kent St,KENT,MAC
Kentucky,UK,SEC
LIU,LIU,NEC
LSU,LSU,SEC
La Salle,LAS,Atlantic 10
Lafayette,LAF,Patriot
Lamar,LAM,Southland
Le Moyne,LEM,NEC
Lehigh,LEH,Patriot
Liberty,LIB,CUSA
Lindenwood,LIND,OVC
Lipscomb,LIP,ASUN
Little Rock,LR,OVC
Long Beach St,LBSU,Big West
Longwood,LONG,Big South
Louisiana Tech,LT,CUSA
Louisiana,ULL,Sun Belt
Louisville,LOU,ACC
Loyola Chicago,LOY,Atlantic 10
Loyola Maryland,LMD,Patriot
Loyola Marymount,LMU,West Coast
MTSU,MTSU,CUSA
Maine,ME,America East
Manhattan,MAN,MAAC
Marist,MRST,MAAC
Marquette,MARQ,Big East
Marshall,MRSH,Sun Belt
Maryland,MD,Big Ten
McNeese,MCN,Southland
Memphis,MEM,American
Mercer,MER,SoCon
Mercyhurst,MRCY,NEC
Merrimack,MRMK,MAAC
Miami FL,MIA,ACC
Miami OH,MOH,MAC
Michigan St,MSU,Big Ten
Michigan,MICH,Big Ten
Milwaukee,MILW,Horizon
Minnesota,MINN,Big Ten
Mississippi St,MSST,SEC
Mississippi Valley St,MVSU,SWAC
Missouri St,MOST,CUSA
Missouri,MIZ,SEC
Monmouth,MONM,CAA
Montana St,MTST,Big Sky
Montana,MONT,Big Sky
Morehead St,MORE,OVC
Morgan St,MORG,MEAC
Mt St Mary's,MSM,MAAC
Murray St,MUR,OVC
NC A&T,NCAT,CAA
NC Central,NCCU,MEAC
NC St,NCSU,ACC
NJIT,NJIT,America East
Navy,NAVY,Patriot
Nebraska,NEB,Big Ten
Nevada,NEV,Mountain West
New Hampshire,UNH,America East
New Haven,NHVN,NEC
New Mexico St,NMSU,CUSA
New Mexico,UNM,Mountain West
New Orleans,UNO,Southland
Niagara,NIAG,MAAC
Nicholls,NICH,Southland
Norfolk St,NORF,MEAC
North Alabama,UNA,ASUN
North Carolina,UNC,ACC
North Dakota St,NDSU,Summit
North Dakota,UND,Summit
North Florida,UNF,ASUN
North Texas,UNT,American
Northeastern,NE,CAA
Northern Arizona,NAU,Big Sky
Northern Colorado,UNCO,Big Sky
Northern Illinois,NIU,MAC
Northern Iowa,UNI,MVC
Northern Kentucky,NKU,Horizon
Northwestern St,NWST,Southland
Northwestern,NW,Big Ten
Notre Dame,ND,ACC
Oakland,OAK,Horizon
Ohio St,OSU,Big Ten
Ohio,OHIO,MAC
Oklahoma St,OKST,Big 12
Oklahoma,OU,SEC
Old Dominion,ODU,Sun Belt
Ole Miss,MISS,SEC
Omaha,OMA,Summit
Oral Roberts,ORU,Summit
Oregon St,ORST,West Coast
Oregon,ORE,Big Ten
Pacific,PAC,West Coast
Penn St,PSU,Big Ten
Penn,PENN,Ivy
Pepperdine,PEPP,West Coast
Pittsburgh,PITT,ACC
Portland St,PRST,Big Sky
Portland,PORT,West Coast
Prairie View A&M,PVAM,SWAC
Presbyterian,PRES,Big South
Princeton,PRIN,Ivy
Providence,PROV,Big East
Purdue Fort Wayne,PFW,Horizon
Purdue,PUR,Big Ten
Queens,QUOC,ASUN
Quinnipiac,QUIN,MAAC
Radford,RAD,Big South
Rhode Island,URI,Atlantic 10
Rice,RICE,American
Richmond,RICH,Atlantic 10
Rider,RID,MAAC
Robert Morris,RMU,Horizon
Rutgers,RUTG,Big Ten
SE Louisiana,SELA,Southland
SEMO,SEMO,OVC
SIUE,SIUE,OVC
SMU,SMU,ACC
Sacramento St,SAC,Big Sky
Sacred Heart,SHU,MAAC
Sam Houston,SHSU,CUSA
Samford,SAM,SoCon
San Diego St,SDSU,Mountain West
San Diego,USD,West Coast
San Francisco,SF,West Coast
San Jose St,SJSU,Mountain West
Santa Clara,SCU,West Coast
Seattle,SEA,West Coast
Seton Hall,HALL,Big East
Siena,SIE,MAAC
South Alabama,USA,Sun Belt
South Carolina St,SCST,MEAC
South Carolina,SCAR,SEC
South Dakota St,SDST,Summit
South Dakota,SDAK,Summit
Southern Illinois,SIU,MVC
Southern Indiana,USI,OVC
Southern Miss,USM,Sun Belt
Southern Utah,SUU,WAC
Southern,SOU,SWAC
St Bonaventure,SBU,Atlantic 10
St Francis,SFU,NEC
St John's,SJU,Big East
St Joseph's,JOES,Atlantic 10
St Louis,SLU,Atlantic 10
St Mary's,SMC,West Coast
St Peter's,SPU,MAAC
St Thomas,STMN,Summit
Stanford,STAN,ACC
Stephen F Austin,SFA,Southland
Stetson,STET,ASUN
Stonehill,STON,NEC
Stony Brook,STBK,CAA
Syracuse,SYR,ACC
TCU,TCU,Big 12
Tarleton St,TAR,WAC
Temple,TEM,American
Tennessee St,TNST,OVC
Tennessee Tech,TNTC,OVC
Tennessee,TENN,SEC
Texas A&M Corpus Christi,AMCC,Southland
Texas A&M,TAMU,SEC
Texas Southern,TXSO,SWAC
Texas St,TXST,Sun Belt
Texas Tech,TTU,Big 12
Texas,TEX,SEC
Toledo,TOL,MAC
Towson,TOW,CAA
Troy,TROY,Sun Belt
Tulane,TULN,American
Tulsa,TLSA,American
UAB,UAB,American
UC Davis,UCD,Big West
UC Irvine,UCI,Big West
UC Riverside,UCR,Big West
UC San Diego,UCSD,Big West
UC Santa Barbara,UCSB,Big West
UCF,UCF,Big 12
UCLA,UCLA,Big Ten
UConn,CONN,Big East
UIC,UIC,Horizon
ULM,ULM,Sun Belt
UMBC,UMBC,America East
UMES,UMES,MEAC
UMass Lowell,UML,America East
UMass,MASS,MAC
UNC Asheville,UNCA,Big South
UNC Greensboro,UNCG,SoCon
UNC Wilmington,UNCW,CAA
UNLV,UNLV,Mountain West
USC Upstate,USCU,Big South
USC,USC,Big Ten
USF,USF,AAC
UT Arlington,UTA,WAC
UT Martin,UTM,OVC
UTEP,UTEP,CUSA
UTRGV,RGV,Southland
UTSA,UTSA,American
Utah St,USU,Mountain West
Utah Tech,UTU,WAC
Utah Valley,UVU,WAC
Utah,UTAH,Big 12
VCU,VCU,Atlantic 10
VMI,VMI,SoCon
Valparaiso,VALP,MVC
Vanderbilt,VAN,SEC
Vermont,VERM,America East
Villanova,VILL,Big East
Virginia Tech,VT,ACC
Virginia,UVA,ACC
Wagner,WAG,NEC
Wake Forest,WF,ACC
Washington St,WSU,West Coast
Washington,WASH,Big Ten
Weber St,WEB,Big Sky
West Georgia,UWG,ASUN
West Virginia,WV,Big 12
Western Carolina,WCU,SoCon
Western Illinois,WIU,OVC
Western Kentucky,WKU,CUSA
Western Michigan,WMU,MAC
Wichita St,WICH,American
William & Mary,WAM,CAA
Winthrop,WIN,Big South
Wisconsin,WISC,Big Ten
Wofford,WOF,SoCon
Wright St,WRST,Horizon
Wyoming,WYO,Mountain West
Xavier,XAV,Big East
Yale,YALE,Ivy
Youngstown St,YSU,Horizon
